TimeSeriesId,Region,Product_Hierachy1,Product_Hierachy2,Product_Hierachy3,ABC_Classification,XYZ_Predictability,Price_Normalized,First_Goods_Issue_Date,Effective_Out_Date
36,C,73,53,81,A,Z,0.2708,1/27/2020,12/31/2030
37,N,73,58,149,B,Z,0.0083,12/3/2012,12/31/2030
38,M,73,56,92,A,Z,0.04,1/10/2022,12/31/2030
39,M,72,10,18,A,Z,0.0714,10/26/2020,12/31/2023
40,N,82,42,263,C,Z,0.2716,4/26/2021,12/31/2030
41,M,72,10,17,A,Z,0.0641,2/21/2022,12/31/2030
42,N,72,85,719,C,Z,0.0103,9/17/2018,12/31/2030
43,M,82,41,258,C,Z,0.0113,7/17/2017,12/31/2030
44,N,73,57,113,B,Z,0.1072,4/19/2021,12/31/2030
45,I,82,41,256,B,Z,0.0987,7/27/2020,12/31/2030
46,S,82,41,255,C,Z,0.3291,7/18/2011,12/31/2030
47,N,72,10,21,A,Z,0.0468,10/12/2020,12/31/2030
48,I,73,58,796,C,Z,0.0031,7/1/2019,12/31/2030
49,C,82,41,258,C,Z,0.0064,11/28/2016,12/31/2030
50,S,72,10,21,B,Z,0.0329,5/25/2015,12/31/2030
51,N,72,85,326,C,Z,0.0035,7/22/2013,12/31/2030
52,S,73,58,796,C,Z,0.0038,9/2/2019,12/31/2030
53,N,73,21,32,B,Z,0.1285,1/29/2018,12/31/2030
54,M,73,57,111,A,Z,0.0335,12/24/2018,12/31/2030
55,M,73,85,648,A,Y,0.0594,5/22/2017,12/31/2030
56,I,82,41,256,B,X,0.1338,3/2/2020,12/31/2023
57,I,73,56,100,C,Z,0.0107,1/18/2016,12/31/2030
58,I,82,41,256,A,Z,0.0837,7/13/2020,12/31/2030
59,N,73,56,91,A,Z,0.1044,2/28/2022,12/31/2030
60,S,82,41,258,A,Z,0.0308,10/13/2014,12/31/2030
61,M,82,41,255,A,X,0.8954,3/2/2020,12/31/2030
62,S,73,58,796,C,Z,0.0095,11/4/2013,12/31/2030
63,I,72,85,648,B,Z,0.0307,1/18/2016,12/31/2030
64,N,73,85,680,B,Z,0.0813,2/22/2021,12/31/2030
65,I,72,14,9,C,Z,0.1268,6/13/2022,12/31/2030
66,M,72,10,17,B,Z,0.1088,10/26/2020,6/30/2024
67,I,73,56,91,A,Z,0.1433,4/17/2017,12/31/2030
68,I,82,41,256,A,X,0.2626,10/2/2017,12/31/2030
69,M,82,41,256,C,Z,0.0741,2/20/2017,12/31/2030
70,N,73,90,320,C,Z,0.0071,2/6/2012,12/31/2030
71,I,72,10,17,B,Z,0.1593,8/31/2020,6/30/2024
72,S,82,41,258,A,Z,0.0194,11/29/2010,12/31/2030
73,S,73,21,26,B,Z,0.0696,8/22/2011,12/31/2030
74,I,82,41,255,C,Z,0.3291,3/7/2011,3/31/2025
75,C,73,56,91,A,Z,0.0292,12/27/2021,12/31/2030
76,S,82,41,257,C,N,0.1826,5/20/2013,12/31/2030
77,I,72,10,18,C,Z,0.1109,1/18/2021,6/30/2024
78,S,82,41,256,A,Z,0.2626,8/28/2017,12/31/2030
79,M,82,41,257,C,Z,0.1005,12/6/2010,12/31/2030
80,N,72,0,21,C,Z,0.0055,5/5/2014,12/31/2030
81,S,73,57,113,C,Z,0.1663,5/10/2021,12/31/2030
82,I,73,57,109,A,Z,0.4235,3/30/2015,12/31/2030
83,I,72,21,26,C,Z,0.1036,10/19/2020,12/31/2030
84,S,72,21,29,B,X,0.0614,10/26/2015,12/31/2030
85,N,82,41,257,B,Z,0.1823,4/15/2013,12/31/2030
86,N,72,21,29,A,Z,0.0772,10/21/2013,4/30/2023
87,N,73,58,149,C,Z,0.0056,3/18/2013,12/31/2030
88,M,73,56,91,B,Z,0.0457,2/15/2016,12/31/2030
89,M,73,53,81,A,Y,0.0745,3/11/2019,12/31/2030
90,I,82,41,257,B,Z,0.1823,6/10/2013,12/31/2030
91,S,82,42,254,A,Z,0.4342,1/15/2018,12/31/2030
92,S,73,58,796,B,Z,0.0094,10/28/2013,12/31/2030
93,N,73,56,92,C,Z,0.0345,1/31/2022,12/31/2030
94,N,73,56,91,B,Z,0.1922,5/2/2022,12/31/2030
95,I,72,14,9,B,Z,0.1143,2/20/2017,12/31/2030
96,S,82,41,256,C,Z,0.0492,12/6/2010,12/31/2030
97,U,73,58,796,C,Z,0.0153,1/31/2022,12/31/2030
98,I,72,85,648,B,Z,0.061,3/26/2018,12/31/2030
99,S,72,85,326,C,X,0.0035,6/24/2013,12/31/2030
100,S,73,56,91,C,N,0.0506,5/9/2016,12/31/2030
101,N,72,90,35,B,Z,0.0811,11/29/2010,12/31/2030
102,U,82,41,258,A,Z,0.0394,3/3/2014,12/31/2030
103,N,72,10,18,C,Z,0.1289,4/25/2022,12/31/2030
104,N,72,10,17,A,X,0.0893,1/10/2022,12/31/2030
105,S,82,40,259,A,Z,0.1148,5/2/2022,12/31/2030
106,S,82,41,256,B,Z,0.1946,10/2/2017,12/31/2030
107,I,72,21,25,A,X,0.0655,11/29/2010,12/31/2030
108,S,82,42,250,C,Z,0.016,9/28/2020,12/31/2030
109,I,82,40,259,A,Z,0.0641,2/8/2021,12/31/2030
110,M,82,42,263,B,Z,0.2716,5/10/2021,12/31/2030
111,S,73,53,81,C,Z,0.154,1/27/2020,12/31/2030
112,N,72,14,9,B,Z,0.1167,11/29/2010,12/31/2030
113,S,82,41,256,C,Z,0.1078,9/11/2017,12/31/2030
114,M,72,20,39,B,Z,0.0385,1/3/2011,6/30/2023
115,N,73,53,88,C,Z,0.0087,4/4/2011,12/31/2030
116,M,73,58,149,B,Z,0.0056,5/23/2016,12/31/2030
117,N,72,23,41,B,Z,0.0456,2/1/2021,12/31/2030
118,M,73,53,89,C,Z,0.0093,2/7/2011,12/31/2030
119,C,72,10,18,A,Z,0.1136,12/7/2020,12/31/2030
120,M,72,85,719,C,Z,0.0032,1/14/2019,12/31/2030
121,U,82,41,256,C,Z,0.0344,7/6/2020,12/31/2030
122,M,72,20,50,C,Z,0.0031,4/12/2021,12/31/2030
123,I,72,10,17,B,Z,0.0472,2/28/2022,12/31/2030
124,S,72,10,21,C,Z,0.0297,9/10/2018,12/31/2030
125,M,82,41,256,C,Z,0.0492,11/29/2010,12/31/2030
126,M,72,90,35,C,Z,0.0803,1/3/2011,6/30/2023
127,N,73,53,108,C,Z,0.0129,4/9/2018,12/31/2030
128,N,73,57,109,C,Y,0.3456,1/14/2013,12/31/2030
129,U,82,40,259,B,Z,0.0641,3/1/2021,12/31/2030
130,I,82,40,259,A,Z,0.0593,2/23/2015,12/31/2030
131,U,82,42,263,C,Z,0.1022,10/3/2022,12/31/2030
132,C,73,58,796,C,Z,0.0095,11/4/2013,12/31/2030
133,N,82,40,259,C,Z,0.008,8/13/2018,12/31/2030
134,S,72,10,17,C,Z,0.0483,10/24/2016,12/31/2030
135,I,82,40,260,C,X,0.0832,8/17/2015,12/31/2030
136,I,72,12,5,A,Z,0.056,4/24/2017,12/31/2030
137,M,82,41,258,C,X,0.0106,4/1/2013,12/31/2030
138,N,82,41,256,C,Z,0.1393,9/30/2013,12/31/2030
139,N,72,10,17,C,Z,0.1313,8/24/2020,6/30/2024
140,M,72,14,9,A,Z,0.0624,7/23/2012,12/31/2030
141,N,73,56,97,C,Z,0.0014,3/28/2011,12/31/2030
142,C,73,56,100,C,Z,0.0107,7/27/2015,12/31/2030
143,I,82,40,259,A,Z,0.0333,10/1/2018,1/1/2024
144,C,73,53,108,A,Z,0.6126,12/14/2020,12/31/2030
145,S,73,58,149,B,Z,0.0056,6/10/2013,12/31/2030
146,M,82,90,172, ,Z,0.0141,5/7/2018,12/31/2030
147,I,82,85,648,C,Z,0.0034,2/1/2016,12/31/2030
148,U,72,85,326,C,N,0.0035,8/5/2013,12/31/2030
149,M,73,58,149,B,Z,0.0083,3/17/2014,12/31/2030
150,S,73,58,796,C,Z,0.0033,7/28/2014,12/31/2030
151,M,73,56,91,A,Z,0.0292,1/17/2022,12/31/2030
152,N,72,10,21,C,Z,0.0315,4/27/2015,12/31/2030
153,U,72,85,326,C,Z,0.0084,8/5/2013,12/31/2030
154,I,73,56,90,A,X,0.0799,12/20/2021,12/31/2030
155,N,73,58,796,C,Z,0.0042,4/8/2019,12/31/2030
156,S,72,16,54,B,Z,0.0202,5/13/2013,12/31/2030
157,N,72,85,326,C,X,0.0031,7/1/2013,12/31/2030
158,N,82,41,258,C,Z,0.0106,7/29/2013,12/31/2030
159,M,82,41,256,B,X,0.0376,8/9/2021,12/31/2030
160,C,73,53,81,A,Z,0.3722,12/9/2019,10/31/2023
161,M,72,90,144,A,X,0.0867,1/20/2014,12/31/2030
162,S,72,11,330,B,Z,0.1676,10/31/2011,12/31/2030
163,I,72,10,18,C,Z,0.087,1/25/2021,12/31/2030
164,C,73,56,94,A,Z,0.0045,11/29/2010,12/31/2030
165,I,72,20,39,A,X,0.0274,2/2/2015,12/31/2030
166,C,82,42,263,A,Z,0.0309,6/20/2016,6/30/2024
167,U,82,41,256,B,X,0.0766,11/29/2010,12/31/2030
168,C,72,85,326,C,X,0.0032,7/1/2013,12/31/2030
169,U,73,58,796,C,Z,0.0204,4/25/2016,12/31/2030
170,U,73,58,796,C,Z,0.0023,11/4/2019,12/31/2030
171,I,72,85,326,C,X,0.0081,7/1/2013,12/31/2030
172,M,73,53,108,B,Z,0.0091,4/29/2013,12/31/2030
173,S,73,53,88,B,Z,0.0081,5/26/2014,12/31/2030
174,C,82,40,259,B,Z,0.0766,11/23/2020,12/31/2030
175,S,73,53,108,A,Z,0.0072,7/14/2014,12/31/2030
176,I,73,53,108,A,Z,0.6773,3/15/2021,12/31/2030
177,S,73,56,96,C,Z,0.0083,6/29/2020,12/31/2030
178,N,73,53,81,C,Z,0.3438,4/27/2020,12/31/2030
179,S,82,40,259,A,X,0.0333,8/20/2018,12/31/2023
180,N,73,85,680,C,Z,0.1074,4/4/2022,12/31/2030
181,S,72,85,680,C,Z,0.078,10/1/2018,12/31/2030
182,U,82,40,260,C,Z,0.1115,6/15/2015,12/31/2030
183,N,73,56,91,C,Z,0.0458,2/8/2016,12/31/2030
184,S,82,41,255,A,Z,0.2392,3/14/2011,12/31/2030
185,M,82,42,254,C,Z,0.406,6/24/2019,12/31/2030
186,I,82,40,259,C,Z,0.0087,4/26/2021,12/31/2030
187,C,73,53,81,A,Z,0.2414,1/31/2022,12/31/2023
188,M,72,85,326,C,Z,0.0044,6/24/2013,12/31/2030
189,I,72,10,18,C,Z,0.1162,8/31/2015,12/31/2030
190,I,73,56,94,A,Z,0.0045,11/29/2010,12/31/2030
191,M,82,41,256,A,Z,0.0348,10/17/2016,12/31/2030
192,M,73,53,108,C,Z,0.0022,4/24/2017,12/31/2030
193,U,73,56,97,A,Z,0.0019,6/30/2014,12/31/2030
194,N,73,58,149,C,Z,0.0102,2/17/2014,12/31/2030
195,S,73,57,106,C,Y,0.0297,2/15/2016,5/31/2023
196,I,73,53,81,A,Z,0.2099,3/2/2020,12/31/2030
197,S,82,41,256,B,X,0.1338,3/2/2020,12/31/2023
198,N,82,40,331,B,X,0.03,3/17/2014,12/31/2030
199,N,72,90,133,C,Z,0.0135,8/13/2018,12/31/2030
200,M,72,10,17,A,X,0.05,10/5/2020,12/31/2030
201,U,73,53,88,C,Y,0.009,3/19/2018,12/31/2030
202,N,72,10,18,C,Z,0.1078,2/28/2022,12/31/2030
203,M,82,41,258,B,X,0.0303,3/3/2014,12/31/2030
204,I,73,52,148,C,Z,0.0744,3/15/2021,12/31/2030
205,S,72,85,648,B,Z,0.0307,11/30/2015,12/31/2030
206,N,73,57,109,C,Z,0.094,3/13/2017,12/31/2030
207,C,82,41,256,C,Z,0.0925,7/13/2020,12/31/2023
208,U,73,56,96,C,Z,0.0186,1/31/2022,12/31/2030
209,N,73,53,81,C,Z,0.2145,3/26/2018,12/31/2030
210,S,72,21,25,C,Z,0.0417,3/21/2022,12/31/2030
211,M,72,85,326,C,Z,0.0058,7/15/2013,12/31/2030
212,M,72,21,25,C,Z,0.0417,12/6/2021,12/31/2030
213,I,72,10,17,B,Z,0.0439,1/25/2021,12/31/2030
214,I,73,58,149,B,Z,0.0105,1/6/2014,12/31/2030
215,N,82,42,263,B,Z,0.2693,4/19/2021,12/31/2030
216,M,72,21,55,A,Z,0.0643,4/30/2018,12/31/2030
217,S,73,56,92,C,Z,0.0353,1/3/2022,12/31/2030
218,I,72,21,29,A,Z,0.0813,11/29/2010,12/31/2030
219,S,72,10,17,A,Z,0.0633,11/2/2020,12/31/2030
220,U,72,10,17,C,Z,0.0311,1/17/2022,12/31/2030
221,N,82,41,255,C,Z,1,11/7/2022,12/31/2030
222,S,82,40,259,B,Z,0.0561,5/2/2022,12/31/2030
223,I,82,42,263,B,Z,0.1022,8/29/2022,12/31/2030
224,S,82,41,258,C,X,0.0106,4/1/2013,12/31/2030
225,I,73,53,108,A,Z,0.0072,7/14/2014,12/31/2030
226,M,82,41,256,C,X,0.0766,11/29/2010,12/31/2030
227,N,73,56,90,C,Z,0.1034,4/12/2021,12/31/2030
228,S,73,53,88,C,Z,0.005,12/6/2010,12/31/2030
229,C,82,41,256,A,Z,0.2626,8/28/2017,12/31/2030
230,C,82,41,256,B,X,0.1338,12/23/2019,12/31/2023
231,S,72,21,625,B,Z,0.0098,9/25/2017,12/31/2030
232,C,73,90,320,C,Z,0.0071,2/6/2012,12/31/2030
233,C,72,10,21,C,Z,0.0055,4/21/2014,12/31/2030
234,C,72,10,18,B,Z,0.0725,3/21/2022,12/31/2030
235,I,72,21,55,B,Z,0.0756,6/19/2017,12/31/2030
236,N,73,57,106,A,Z,0.0591,1/4/2021,12/31/2030
237,C,82,41,258,C,Z,0.0175,9/15/2014,12/31/2023
238,N,73,53,81,C,Z,0.0671,12/9/2013,12/31/2030
239,N,73,53,81,C,Z,0.2153,1/3/2022,12/31/2030
240,U,72,77,33,A,Z,0.053,1/3/2011,12/31/2030
241,S,73,53,81,C,Z,0.0606,1/13/2014,12/31/2030
242,U,72,10,18,B,Z,0.0668,11/23/2020,12/31/2030
243,N,72,10,18,C,Z,0.0666,2/28/2022,12/31/2030
244,S,73,53,81,Unknown,Unknown,0.4221,3/10/2014,12/31/2030
245,N,72,85,326,C,Z,0.0033,7/1/2013,12/31/2030
246,I,72,0,21,C,Z,0.0136,9/22/2014,12/31/2030
247,N,72,0,21,C,Z,0.0055,8/4/2014,12/31/2030
248,M,73,58,146,C,Z,0.0044,12/11/2017,12/31/2030
249,N,72,27,247,C,Z,0.1197,5/17/2021,12/31/2030
250,M,72,27,247,C,Z,0.0713,10/2/2017,6/30/2023
251,M,72,20,50,C,Z,0.0029,4/12/2021,12/31/2030
252,N,72,12,5,A,Z,0.0792,3/20/2017,12/31/2030
253,I,82,41,256,C,Z,0.0639,3/22/2021,12/31/2030
254,N,72,14,9,A,X,0.0579,11/7/2011,12/31/2030
255,I,72,21,25,A,X,0.0397,4/30/2012,12/31/2030
256,I,72,21,29,C,Z,0.0772,6/27/2016,12/31/2030
257,C,72,85,326,C,Z,0.003,7/1/2013,12/31/2030
258,N,72,10,21,B,Z,0.0218,5/4/2015,12/31/2030
259,N,73,58,149,C,Z,0.0056,3/21/2016,12/31/2030
260,U,72,20,38,C,Z,0.0462,2/13/2017,12/31/2030
261,M,72,14,9,B,Z,0.0662,3/27/2017,12/31/2030
262,C,73,56,92,C,Z,0.0493,1/10/2022,12/31/2030
263,C,72,27,247,A,X,0.0717,5/29/2017,12/31/2030
264,N,73,53,81,A,Z,0.2123,2/14/2022,12/31/2030
265,I,73,53,81,B,Z,0.2123,2/7/2022,12/31/2030
266,N,72,10,17,A,Z,0.106,2/28/2022,12/31/2030
267,N,72,23,41,A,Z,0.0627,9/21/2020,12/31/2030
268,N,72,0,21,C,Z,0.0136,6/2/2014,12/31/2030
269,N,72,85,326,C,Z,0.0055,7/22/2013,12/31/2030
270,M,82,41,258,C,Z,0.0064,11/28/2016,12/31/2030
271,S,72,57,105,A,Z,0.0564,7/26/2021,12/31/2030
272,C,73,57,109,B,Z,0.4235,3/16/2015,12/31/2030
273,U,82,41,255,A,Z,0.4091,11/20/2017,12/31/2030
274,M,73,56,96,C,Z,0.0099,6/1/2020,12/31/2030
275,N,72,16,54,C,Z,0.0179,6/25/2018,12/31/2030
276,I,73,56,94,A,Z,0.0045,11/29/2010,12/31/2030
277,N,72,10,17,C,Z,0.0737,10/19/2020,12/31/2030
278,C,72,10,17,B,Z,0.0439,1/25/2021,12/31/2030
279,S,72,10,17,C,Z,0.106,3/14/2022,12/31/2030
280,S,73,58,796,C,Z,0.0037,8/17/2020,12/31/2030
281,N,82,41,255,C,Z,0.1007,11/23/2020,12/31/2030
282,C,73,90,220,A,Z,0.0147,8/20/2018,12/31/2030
283,C,82,41,256,C,Z,0.0662,11/23/2020,12/31/2030
284,C,72,10,21,C,Z,0.0214,12/21/2020,12/31/2030
285,M,73,57,112,B,Z,0.0881,1/31/2022,12/31/2030
286,C,82,42,250,B,Z,0.016,6/1/2020,12/31/2023
287,C,73,56,96,C,Z,0.0105,11/29/2010,12/31/2030
288,S,72,21,625,A,Z,0.0098,9/25/2017,12/31/2030
289,M,72,85,719,C,Z,0.0046,9/10/2018,12/31/2030
290,S,72,0,21,C,X,0.01,4/7/2014,12/31/2030
291,N,72,20,38,A,Z,0.0533,3/14/2011,12/31/2030
292,N,72,14,9,B,Z,0.0624,10/1/2012,12/31/2030
293,C,73,53,88,B,Z,0.0081,2/10/2014,12/31/2030
294,S,82,41,258,A,Z,0.0778,11/29/2010,12/31/2030
295,M,72,16,54,C,Z,0.0204,5/13/2013,12/31/2030
296,N,72,21,29,C,Z,0.0523,9/23/2013,12/31/2030
297,N,82,42,319,B,Z,0.0517,7/31/2017,12/31/2030
298,C,73,57,109,C,Z,0.0039,4/8/2019,12/31/2030
299,M,82,42,319,A,Z,0.2879,5/25/2015,12/31/2030
300,I,82,41,258,B,Z,0.0422,7/12/2021,12/31/2030
301,S,73,53,81,C,Z,0.2407,6/7/2021,12/31/2030
302,I,73,58,796,C,Z,0.0058,2/19/2018,12/31/2030
303,I,72,27,247,C,Z,0.0602,12/18/2017,12/31/2030
304,M,82,85,732,C,Z,0.0813,12/11/2017,12/31/2030
305,S,72,10,17,C,Z,0.0293,11/9/2020,12/31/2030
306,N,73,56,91,B,Z,0.1283,1/3/2022,12/31/2030
307,M,82,41,256,C,Y,0.0948,11/27/2017,12/31/2023
308,N,73,53,81,C,Y,0.0671,3/17/2014,12/31/2030
309,C,72,23,41,B,Z,0.0448,3/22/2021,12/31/2030
310,S,73,53,88,C,Z,0.0085,8/3/2020,12/31/2030
311,M,72,10,18,C,Z,0.0326,11/2/2020,12/31/2030
312,N,73,57,109,B,Z,0.3576,3/9/2015,12/31/2030
313,U,82,41,258,C,Z,0.0053,1/9/2017,12/31/2030
314,N,72,85,719, ,N,0.0228,1/28/2019,12/31/2030
315,I,82,40,259,B,Z,0.0585,8/20/2018,12/31/2023
316,N,82,40,331,C,Z,0.0809,3/31/2014,12/31/2030
317,U,82,41,256,C,N,0.2089,2/1/2021,12/31/2030
318,S,82,40,260,C,Z,0.0832,11/2/2015,12/31/2030
319,I,73,56,90,A,Z,0.1043,1/25/2016,12/31/2024
320,M,72,10,17,A,Z,0.106,4/4/2022,12/31/2030
321,N,82,40,259,A,X,0.0387,3/2/2015,12/31/2030
322,N,73,53,81,C,Z,0.1577,3/2/2020,12/31/2030
323,I,73,58,796,B,Z,0.0056,10/28/2013,12/31/2030
324,N,82,41,258,B,Z,0.0175,12/8/2014,12/31/2023
325,N,82,41,258,C,Z,0.008,10/19/2020,12/31/2030
326,M,72,21,29,B,Z,0.0518,11/29/2010,12/31/2030
327,S,73,58,796,C,Z,0.0058,11/3/2014,12/31/2030
328,I,73,57,109,C,Z,0.0039,6/17/2019,12/31/2030
329,M,82,41,256,C,Z,0.0492,11/29/2010,12/31/2030
330,I,82,42,263,B,Z,0.2693,4/19/2021,12/31/2030
331,C,72,27,247,B,Z,0.0714,3/16/2020,12/31/2030
332,U,73,58,796,C,Z,0.0118,7/15/2019,12/31/2030
333,N,72,57,105,A,X,0.0578,3/6/2017,12/31/2030
334,M,82,40,259,B,X,0.0335,6/22/2020,12/31/2030
335,M,73,56,92,A,Y,0.0345,1/3/2022,12/31/2030
336,C,73,56,91,B,Z,0.1922,1/10/2022,12/31/2030
337,C,82,41,256,C,Z,0.2406,1/14/2019,12/31/2030
338,S,73,53,88,C,Z,0.0097,3/4/2019,12/31/2030
339,I,72,27,247,A,X,0.0947,2/29/2016,12/31/2030
340,U,82,41,256,B,Z,0.0987,8/17/2020,12/31/2030
341,N,73,56,99,A,Z,0.072,1/18/2016,12/31/2030
342,S,82,40,259,C,Z,0.0276,6/26/2017,12/31/2030
343,M,82,42,263,B,Z,0.1022,8/29/2022,12/31/2030
344,C,72,21,29,A,X,0.0539,11/29/2010,12/31/2030
345,U,73,58,149,B,Z,0.0056,3/7/2016,12/31/2030
346,S,72,10,21,C,Z,0.0267,9/10/2018,12/31/2030
347,I,73,53,88,C,Z,0.0074,4/2/2018,12/31/2030
348,I,82,41,258,C,Z,0.0064,11/28/2016,12/31/2030
349,N,72,16,248,C,Z,0.0389,2/22/2021,12/31/2030
350,I,73,56,96,C,Z,0.0099,7/13/2020,12/31/2030
351,I,82,40,259,C,Z,0.0585,10/1/2018,12/31/2030
352,I,73,53,108,C,Z,0.002,4/17/2017,12/31/2030
353,S,73,56,90,A,X,0.0482,12/28/2020,12/31/2030
354,N,73,53,81,B,Z,0.2407,2/10/2020,10/31/2023
355,S,73,56,91,C,Z,0.1922,1/31/2022,12/31/2030
356,M,82,41,257,C,Z,0.1875,5/6/2013,12/31/2030
357,I,82,40,259,C,Z,0.0587,3/29/2021,12/31/2023
358,S,72,27,247,C,Z,0.0886,9/25/2017,12/31/2030
359,C,82,85,732,C,Z,0.0128,3/31/2014,12/31/2030
360,S,72,20,50,C,Z,0.0029,6/20/2022,12/31/2030
361,S,82,41,256,B,Z,0.0987,8/3/2020,12/31/2030
362,N,72,21,625,B,Z,0.0098,8/28/2017,12/31/2030
363,I,73,58,79,C,Z,0.0069,3/25/2013,12/31/2030
364,C,73,58,149,A,Z,0.0017,12/17/2018,12/31/2030
365,C,73,58,796,C,Z,0.0023,8/20/2018,12/31/2030
366,U,72,20,39,A,Z,0.0283,3/10/2014,12/31/2030
367,N,72,0,21,C,Z,0.0054,8/11/2014,12/31/2030
368,I,73,58,796,C,Z,0.0016,9/10/2018,12/31/2030
369,M,73,58,796,C,Z,0.0031,8/19/2019,12/31/2030
370,I,72,14,9,B,Z,0.0614,11/14/2011,12/31/2030
371,N,82,41,258,A,X,0.0394,3/31/2014,12/31/2030
372,N,72,90,35,C,Z,0.0811,3/28/2011,12/31/2030
373,C,72,16,54,B,Z,0.0179,4/30/2018,12/31/2030
374,N,73,58,796,C,Z,0.0031,4/20/2020,12/31/2030
375,I,72,10,18,B,Z,0.1389,9/21/2020,6/30/2024
376,C,73,56,90,A,Z,0.0827,2/15/2021,12/31/2030
377,M,73,57,109,C,Z,0.7227,11/26/2012,12/31/2030
378,I,82,40,259,C,Z,0.0567,4/8/2019,12/31/2030
379,N,73,90,320,C,Z,0.0071,4/30/2012,12/31/2030
380,M,73,58,796,B,Z,0.0204,2/1/2016,12/31/2030
381,C,73,53,108,C,Z,0.6214,2/7/2022,12/31/2030
382,N,73,58,149,C,Z,0.0039,4/23/2012,12/31/2030
383,S,72,90,144,B,Y,0.0638,4/7/2014,12/31/2030
384,I,73,85,648,A,X,0.0594,5/8/2017,12/31/2030
385,M,82,41,258,A,X,0.0394,2/3/2014,12/31/2030
386,U,72,85,719,C,Z,0.0037,3/18/2019,12/31/2030
387,M,82,41,255,A,Z,0.2392,3/14/2011,12/31/2030
388,I,82,41,257,C,Z,0.1005,12/20/2010,12/31/2030
389,S,72,90,132,B,Z,0.0206,6/4/2018,12/31/2030
390,I,73,58,796,C,N,0.0032,5/22/2017,12/31/2030
391,I,73,56,92,C,Z,0.04,1/10/2022,12/31/2030
392,S,82,41,257,C,Z,0.1875,9/9/2013,12/31/2030
393,U,72,85,648,C,Y,0.0486,8/2/2021,12/31/2030
394,N,73,21,26,A,Z,0.087,2/8/2021,12/31/2030
395,S,73,21,26,A,Z,0.087,1/10/2022,12/31/2030
396,I,72,10,17,B,Z,0.0311,12/13/2021,12/31/2030
397,C,72,10,21,A,Z,0.0245,7/18/2022,12/31/2030
398,C,73,58,149,B,Z,0.0108,1/6/2014,12/31/2030
399,S,82,41,257,C,Z,0.1826,4/15/2013,12/31/2030
400,S,72,21,25,C,X,0.0691,6/24/2019,12/31/2030
401,I,72,12,5,B,Z,0.0513,10/2/2017,12/31/2030
402,M,72,10,18,C,Z,0.0935,7/8/2019,12/31/2030
403,I,72,16,54,C,Z,0.0179,8/13/2018,12/31/2030
404,S,73,57,109,C,N,0.0039,11/8/2021,12/31/2030
405,M,73,53,81,C,Z,0.0671,3/17/2014,12/31/2030
406,S,72,21,25,C,X,0.0469,1/3/2011,12/31/2030
407,C,82,41,255,A,Z,0.2835,11/29/2010,3/31/2025
408,C,73,53,81,C,N,0.3479,1/6/2014,12/31/2030
